TRACE STARTED

00:03F2  30 39  MOVE.W  ($00C00004),D0           A0=00A10005 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF82C8 A6=E3980000 A7=00FF0BFC D0=00000008 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F Xnzvc
00:4BC6  10 15  MOVE.B  (A5),D0                  A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xNzvC
00:4BC8  02 00  ANDI.B  #$80,D0                  A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xNzvc
00:4BCC  67 0E  BEQ     #$0E [00:4BDC]           A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xNzvc
00:4BCE  31 CD  MOVE.W  A5,($8A4C)               A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xNzvc
00:4BD2  20 6D  MOVE.L  $000C(A5),A0             A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xNzvc
00:4BD6  4E 90  JSR     (A0)                     A0=00008062 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xNzvc
00:8062  10 38  MOVE.B  ($8A7C),D0               A0=00008062 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0BFC D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xNzvc
00:8066  67 0E  BEQ     #$0E [00:8076]           A0=00008062 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0BFC D0=00000000 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xnZvc
00:8076  10 38  MOVE.B  ($8A7A),D0               A0=00008062 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0BFC D0=00000000 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xnZvc
00:807A  67 1A  BEQ     #$1A [00:8096]           A0=00008062 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0BFC D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xNzvc
00:807C  B0 38  CMP.B   ($95D7),D0               A0=00008062 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0BFC D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xNzvc
00:8080  66 0E  BNE     #$0E [00:8090]           A0=00008062 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0BFC D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xnZvc
00:8082  53 38  SUBQ.B  #1,($95D8)               A0=00008062 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0BFC D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xnZvc
00:8086  66 08  BNE     #$08 [00:8090]           A0=00008062 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0BFC D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvC
00:8090  11 C0  MOVE.B  D0,($95D7)               A0=00008062 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0BFC D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvC
00:8094  70 00  MOVEQ   #$00,D0                  A0=00008062 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0BFC D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
