TRACE STARTED

00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AC A6=00000000 A7=00FF0C00 D0=00000000 D1=00000014 D2=00000000 D3=00000000 D4=00000000 D5=FFFF843C D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AC A6=00000000 A7=00FF0C00 D0=00000000 D1=00000013 D2=00000000 D3=00000000 D4=00000000 D5=FFFF843C D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AD A6=00000000 A7=00FF0C00 D0=00000000 D1=00000013 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8407 D6=00003FFF D7=00000100 xnzvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AD A6=00000000 A7=00FF0C00 D0=00000000 D1=00000013 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8407 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AD A6=00000000 A7=00FF0C00 D0=00000000 D1=00000013 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8507 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AD A6=00000000 A7=00FF0C00 D0=00000000 D1=00000012 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8507 D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AE A6=00000000 A7=00FF0C00 D0=00000000 D1=00000012 D2=00000000 D3=00000000 D4=00000000 D5=FFFF856C D6=00003FFF D7=00000100 xnzvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AE A6=00000000 A7=00FF0C00 D0=00000000 D1=00000012 D2=00000000 D3=00000000 D4=00000000 D5=FFFF856C D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AE A6=00000000 A7=00FF0C00 D0=00000000 D1=00000012 D2=00000000 D3=00000000 D4=00000000 D5=FFFF866C D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AE A6=00000000 A7=00FF0C00 D0=00000000 D1=00000011 D2=00000000 D3=00000000 D4=00000000 D5=FFFF866C D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AF A6=00000000 A7=00FF0C00 D0=00000000 D1=00000011 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8600 D6=00003FFF D7=00000100 xnZvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AF A6=00000000 A7=00FF0C00 D0=00000000 D1=00000011 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8600 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AF A6=00000000 A7=00FF0C00 D0=00000000 D1=00000011 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8700 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AF A6=00000000 A7=00FF0C00 D0=00000000 D1=00000010 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8700 D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B0 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000010 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8700 D6=00003FFF D7=00000100 xnZvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B0 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000010 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8700 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B0 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000010 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8800 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B0 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000F D2=00000000 D3=00000000 D4=00000000 D5=FFFF8800 D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B1 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000F D2=00000000 D3=00000000 D4=00000000 D5=FFFF8800 D6=00003FFF D7=00000100 xnZvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B1 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000F D2=00000000 D3=00000000 D4=00000000 D5=FFFF8800 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B1 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000F D2=00000000 D3=00000000 D4=00000000 D5=FFFF8900 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B1 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000E D2=00000000 D3=00000000 D4=00000000 D5=FFFF8900 D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B2 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000E D2=00000000 D3=00000000 D4=00000000 D5=FFFF8900 D6=00003FFF D7=00000100 xnZvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B2 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000E D2=00000000 D3=00000000 D4=00000000 D5=FFFF8900 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B2 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000E D2=00000000 D3=00000000 D4=00000000 D5=FFFF8A00 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B2 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000D D2=00000000 D3=00000000 D4=00000000 D5=FFFF8A00 D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B3 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000D D2=00000000 D3=00000000 D4=00000000 D5=FFFF8AFF D6=00003FFF D7=00000100 xNzvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B3 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000D D2=00000000 D3=00000000 D4=00000000 D5=FFFF8AFF D6=00003FFF D7=00000100 xNzvc
